#,Department,Phase,KPI / Feature Name,Rationale / Definition,Prototype Status,Dashboard Widget / UX,References,Flyout Detail (Right Panel),Source ? Fields,RAG / Thresholds,Source System & Access,Frequency,Personas,Decision,Prototype Trace,Drill-down Depth,Formula
?  ORG PULSE — OVERVIEW,,,,,,,,,,,,,,,,,
  ?  Org Pulse Dashboard,,,,,,,,index.html,,,,,,,,,
1,Org Pulse,P1,Engineering Summary Card (index.html ? Engineering dept card),Rollup of Engineering unit health visible on Org Pulse home. Entry point to DM dashboard.,Live – v1,"Dept card: RAG badge + 3 capsules (Unit RAG, Avg P360, Escalations). Click?dm-home.html",Built in: Org Pulse | See: P360 Score; Escalation Age (PMO),"Right panel: Unit RAG breakdown by project, Avg P360 score with trend, open escalation list with severity. Links to dm-home.html for full DM view.","P360 SharePoint + Jira ?
1. composite RAG
2. avg P360
3. escalation count",Green: all green | Amber: any amber | Red: any red,"P360 SharePoint/Jira — P360 SharePoint, Jira Read",Daily,"Primary: Leadership | Secondary: DM, PMO",Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
2,Org Pulse,P1,Sales Summary Card (index.html ? Sales dept card),Rollup of Sales pipeline health on Org Pulse home.,Live – v1,"Dept card: RAG badge + 3 capsules (Coverage, Q2 Achievement, Deals M1). Click?sales.html",Built in: Org Pulse | See: Pipeline Funnel (Sales); BOFU (Sales),"Right panel: Pipeline funnel summary, top 3 at-risk deals, Q2 achievement trend. Links to sales.html.","CRM ?
1. pipeline value
2. target
3. deal count by stage","Green: coverage >2×, achievement >80% | Amber: 1.5–2×, 60–80% | Red: below",CRM Read,Weekly,Primary: Leadership | Secondary: Sales Head,Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
3,Org Pulse,P1,HR Summary Card (index.html ? HR dept card),Rollup of HR people health on Org Pulse home.,Live – v1,"Dept card: RAG badge + 3 capsules (Headcount, Attrition YTD, Open Roles). Click?hr.html",Built in: Org Pulse | See: Headcount MoM (HR); Hiring Tracker (HR),"Right panel: Headcount vs plan by dept, attrition trend chart, open roles list. Links to hr.html.","Keka ?
1. headcount
2. exits
3. open JDs","Green: HC ?98% plan, attrition <10% | Amber: HC 95–97%, attrition 10–15% | Red: below",Keka Read,Monthly,Primary: Leadership | Secondary: HR Head,Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
4,Org Pulse,P1,Finance Summary Card (index.html ? Finance dept card),Rollup of financial health on Org Pulse home.,Live – v1,"Dept card: RAG badge + 3 capsules (vs Plan, EBITDA, Overdue Inv.). Click?finance.html",Built in: Org Pulse | See: Revenue vs Plan (Finance); AR Status (Finance),"Right panel: Revenue vs plan trend, top 3 overdue invoices, margin movement. Links to finance.html.","ERP ?
1. revenue actuals
2. EBITDA
3. AR ageing","Green: ?100% plan, EBITDA >20% | Amber: 95–99%, 15–20% | Red: below",ERP Read,Monthly,Primary: Leadership | Secondary: Finance Head,Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
5,Org Pulse,P1,Claude Daily Brief (index.html ? Claude Daily Brief widget),AI-generated morning summary of critical alerts and actions required across all departments.,Live – v1,"Collapsible brief panel: bulleted insights per department, severity-ranked, recommended actions",Built in: Org Pulse | See: All dept metrics,No drill-down flyout — brief is self-contained. Expand/collapse in place. Links to relevant dept screens.,"Claude API (Haiku) ?
 all dept data sources ? structured brief",N/A — narrative output,Claude API / All Sources — Claude API + all dept data,Daily,Primary: Leadership | Secondary: All DMs,Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
?  ENGINEERING,,,,,,,,,,,,,,,,,
  ?  Project Progress,,,,,,,,dm-home.html ? Project Progress tab,,,,,,,,,
6,Engineering,P1,Sprint Health (Project Progress ? Sprint Health),Identifies execution drift within each sprint before carry-forward debt accumulates across multiple sprints and damages release cadence.,Live – v1,"Sprint panel: committed vs completed bar, velocity %, carry-forward count badge, RAG dot per sprint",Built in: Engineering | See: Per-Project Sprint Tile; Active Blockers,"1. Story-level table: each committed story ? Done/In Progress/Not Started
2. Scope-added list with stories added mid-sprint
3. Carry-forward list from prior sprint with age in days
4. 4-sprint velocity trend (bar/line toggle)
5. Assignee workload split: story points per engineer","Source list: Jira Sprint & Issue API. Fields:
1. Jira Sprint & Issue API.No of stories (Issue Key) comitted at the beginning of Sprint[] ? sprint.committed_pts (Cleaned)
2. Jira Sprint & Issue API.No of stories comitted at the ending of Sprint ? sprint.completed_pts (Cleaned)
3. Jira Sprint & Issue API.issue key in sprint.committed_pts[n] - sprint.committed_pts[n-1] ? sprint.carry_forward (Cleaned)
4. Jira Sprint & Issue API.issue/{key}/status ? issues[].status (Raw)
5. Jira Sprint & Issue API.issue/{key}/name ? issues[].assignee (Raw)
6. Jira Sprint & Issue API ? issues[].story_points.",Green: completion ?80% AND carry-fwd ?20% | Amber: 60–79% OR carry-fwd 20–30% | Red: <60% OR carry-fwd >30% OR scope creep >15%,Jira API credentials; all active project keys,Per sprint,"Primary: Delivery Manager | Secondary: PM, Scrum Master",Pending Review,Deferred,—,No of stories (Issue Key) comitted at the beginning of Sprint[] | No of stories comitted at the ending of Sprint | issue key in sprint.committed_pts[n] - sprint.committed_pts[n-1]
7,Engineering,P1,Per-Project Sprint Tile (Project Progress ? Per-Project Sprint Tile),RAG-coloured card per active client engagement showing sprint status at a glance. Enables DM to scan all projects and click into the one needing attention.,Live – v1,"Sprint tile grid (2×N): account name, sprint ID, RAG left-border, velocity chip, carry-over badge; clickable",Built in: Engineering | See: Sprint Health; P360 Score,"1. Full delivery drill-down: complete story list with status per story
2. Blocker list with age and assignee
3. Assignee workload breakdown
4. Sprint burn-down chart
5. Link to Jira project","Source list: Jira. Fields:
1. Jira.issuekey.name ? project_name (Raw)
2. Jira.sprint/{id}/issue ? sprint_id (Raw)
3. Jira ? rag_status
4. Jira.Sprint_comitted[] / sprint_completed[] ? velocity_pct (Cleaned)
5. Jira.print_carry_forward ? carryover_count (Cleaned)
6. Jira.issue_Type ==""Story"" &&  sprint_id == current_sprint ID ? story_list[] (Cleaned).",Per-project RAG: Green/Amber/Red based on sprint completion %,Jira API,Per sprint,Primary: Delivery Manager | Secondary: Account Manager,Pending Review,Deferred,—,"velocity_pct = Sprint_committed[] / sprint_completed[]
carryover = issue keys in sprint[n].committed ? sprint[n-1].committed"
8,Engineering,P1,Active Blockers (Project Progress (blocker badge on sprint tile) ? Active Blockers),Unresolved blockers are the most common silent cause of sprint failure. Surfacing them with age forces timely action before they compound.,Live – v1,Red badge on sprint tile showing blocker count; distinct from velocity badge,Built in: Engineering | See: Sprint Health,"1. Blocker table: Issue ID
2. Summary
3. Age in days
4. Assignee
5. Last Updated
6. Jira deep-link
7. Unlogged blocker flag (from meeting transcript) with excerpt
8. One-click button to create Jira ticket from flyout","Source list: Jira Issue API (status=Blocked), SharePoint Meeting Insights HUB. Fields:
1. Jira Issue API (status=Blocked) ? issue_id
2. Jira Issue API (status=Blocked) ? summary
3. Jira Issue API (status=Blocked) ? age_days
4. Jira Issue API (status=Blocked) ? assignee
5. SharePoint Meeting Insights HUB ? transcript_text.",Red: any blocker >5 days OR unlogged blocker flag | Amber: any blocker 2–5 days | Green: no blockers or all <2 days,Jira / SharePoint — Jira API; SharePoint Meeting Insights HUB,Daily,"Primary: Delivery Manager | Secondary: PMO, PM",Pending Review,Deferred,—,"velocity_pct = Sprint_committed[] / sprint_completed[]
story_list[] = issue_Type=='Story' AND sprint_id==current_sprint_ID"
  ?  Financials,,,,,,,,"1. dm-home.html ? Financials tab (DM subset
2. primary data owned by PMO)",,,,,,,,,
